product_id,name,category,price,rating,description,tags
P001,Bamboo Wireless Charging Pad,Electronics,34.99,4.5,"Fast 15W wireless charger with sustainable bamboo surface. Universal Qi compatibility.","wireless charging,sustainable,eco,bamboo,phone"
P002,LEGO Technic Robot Kit,Toys,79.99,4.8,"Build and program a working robot. Includes Bluetooth control. Ages 10+.","lego,robot,coding,STEM,kids"
P003,Minimalist Leather Wallet,Clothing,45.00,4.6,"Slim RFID-blocking full-grain leather wallet. Holds 8 cards.","wallet,leather,slim,RFID,minimalist"
P004,Standing Desk Converter,Home & Garden,129.99,4.4,"Adjustable height converter supporting dual monitors. Easy assembly.","standing desk,ergonomic,WFH,remote work"
P005,Kids Coding Robot (Screen-free),Toys,59.99,4.7,"Teach coding without screens. Drag-and-drop physical programming blocks. Ages 6-10.","coding,kids,screen-free,STEM,robot"
P006,Organic Matcha Powder,Beauty,24.99,4.5,"Ceremonial grade matcha. 100g tin. Vegan certified. High antioxidants.","matcha,organic,vegan,green tea,health"
P007,Noise Cancelling Headphones,Electronics,199.99,4.7,"40h battery, active noise cancellation, foldable design.","headphones,ANC,noise cancelling,wireless,music"
P008,Yoga Mat with Alignment Lines,Sports,38.99,4.6,"6mm thick non-slip mat with guide lines for proper pose alignment.","yoga,exercise,mat,fitness,alignment"
P009,Air Purifier HEPA H13,Home & Garden,89.99,4.5,"True HEPA filter removes 99.97% of particles. Covers 500 sqft. Ultra-quiet.","air purifier,HEPA,clean air,allergies,home"
P010,Watercolour Painting Set,Toys,29.99,4.4,"48 vibrant colours, 3 brushes, travel tin. Suitable for beginners and adults.","art,painting,watercolour,creative,gift"
P011,Mechanical Keyboard TKL,Electronics,89.99,4.6,"Tenkeyless layout, Cherry MX Brown switches, RGB backlight.","keyboard,mechanical,gaming,typing,RGB"
P012,Resistance Band Set,Sports,22.99,4.5,"5 resistance levels, carry bag included. Full body workout.","resistance bands,fitness,exercise,home gym"
P013,Wooden Chess Set,Toys,44.99,4.7,"Handcrafted solid wood pieces. Board folds for storage. All ages.","chess,board game,strategy,family,wooden"
P014,Smart Plant Sensor,Home & Garden,19.99,4.3,"Monitors soil moisture, light, temperature. App-connected.","plant,smart home,gardening,sensor,app"
P015,Cold Brew Coffee Maker,Home & Garden,34.99,4.6,"1L capacity, fine mesh filter, BPA-free. Makes smooth cold brew in 12h.","coffee,cold brew,kitchen,barista,BPA-free"
